SalePrice,GrLivArea,LotArea,YearBuilt,OverallQual,BedroomAbvGr,FullBath,GarageArea,Neighborhood,HouseStyle,LotFrontage,MasVnrArea
208500,1710,8450,2003,7,3,2,548,CollgCr,2Story,65.0,196.0
181500,1262,9600,1976,6,3,2,460,Veenker,1Story,80.0,0.0
223500,1786,11250,2001,7,3,2,608,CollgCr,2Story,68.0,162.0
140000,1717,9550,1915,7,3,1,642,Crawfor,2Story,60.0,0.0
250000,2198,14260,2000,8,4,2,836,NoRidge,2Story,84.0,350.0
143000,1362,14115,1993,5,1,1,480,Mitchel,1.5Fin,85.0,0.0
307000,1694,10084,2004,8,3,2,636,Somerst,1Story,75.0,186.0
200000,2090,10382,1973,7,3,2,484,NWAmes,2Story,,240.0
129900,1774,6120,1931,7,2,2,468,OldTown,1.5Fin,51.0,0.0
118000,1077,7420,1939,5,2,1,205,BrkSide,1.5Unf,50.0,0.0
129500,1040,11200,1965,5,3,1,384,Sawyer,1Story,70.0,0.0
345000,2324,11924,2005,9,4,3,736,NridgHt,2Story,85.0,286.0
144000,912,12968,1962,5,2,1,352,Sawyer,1Story,,0.0
279500,1494,10652,2006,7,3,2,840,CollgCr,1Story,91.0,306.0
157000,1253,10920,1960,6,2,1,352,NAmes,1Story,,212.0
132000,854,6120,1929,7,2,1,576,BrkSide,1.5Unf,51.0,0.0
149000,1004,11241,1970,6,2,1,480,NAmes,1Story,,180.0
90000,1296,10791,1967,4,2,2,516,Sawyer,1Story,72.0,0.0
159000,1114,13695,2004,5,3,1,576,SawyerW,1Story,66.0,0.0
139000,1339,7560,1958,5,3,1,294,NAmes,1Story,70.0,0.0
325300,2376,14215,2005,8,4,3,853,NridgHt,2Story,101.0,380.0
139400,1108,7449,1930,7,3,1,280,IDOTRR,1.5Unf,57.0,0.0
230000,1795,9742,2002,8,3,2,534,CollgCr,1Story,75.0,281.0
129900,1060,4224,1976,5,3,1,572,MeadowV,1Story,44.0,0.0
154000,1060,8246,1968,5,3,1,270,Sawyer,1Story,,0.0
256300,1600,14230,2007,8,3,2,890,NridgHt,1Story,110.0,640.0
134800,900,7200,1951,5,3,1,576,NAmes,1Story,60.0,0.0
306000,1704,11478,2007,8,3,2,772,NridgHt,1Story,98.0,200.0
207500,1600,16321,1957,5,2,1,319,NAmes,1Story,47.0,0.0
68500,520,6324,1927,4,1,1,240,BrkSide,1Story,60.0,0.0
40000,1317,8500,1920,4,3,1,250,IDOTRR,2Story,50.0,0.0
149350,1228,8544,1966,5,3,1,271,Sawyer,1Story,,0.0
179900,1234,11049,2007,8,3,2,484,CollgCr,1Story,85.0,0.0
165500,1700,10552,1959,5,4,1,447,NAmes,1Story,70.0,0.0
277500,1561,7313,2005,9,2,2,556,NridgHt,1Story,60.0,246.0
309000,2452,13418,2004,8,4,3,691,NridgHt,2Story,108.0,132.0
145000,1097,10859,1994,5,3,1,672,CollgCr,1Story,112.0,0.0
153000,1297,8532,1954,5,3,1,498,NAmes,1Story,74.0,650.0
109000,1057,7922,1953,5,3,1,246,NAmes,1Story,68.0,0.0
82000,1152,6040,1955,4,2,2,0,Edwards,1Story,65.0,0.0
160000,1324,8658,1965,6,3,2,440,NAmes,1Story,84.0,101.0
170000,1328,16905,1959,5,2,1,308,Timber,1Story,115.0,0.0
144000,884,9180,1983,5,2,1,504,SawyerW,SFoyer,,0.0
130250,938,9200,1975,5,3,1,308,CollgCr,1Story,,0.0
141000,1150,7945,1959,5,3,1,300,NAmes,1Story,70.0,0.0
319900,1752,7658,2005,9,2,2,576,NridgHt,1Story,61.0,412.0
239686,2149,12822,2003,7,1,1,670,Mitchel,1.5Fin,48.0,0.0
249700,1656,11096,2006,8,3,2,826,Somerst,1Story,84.0,0.0
113000,1452,4456,1920,4,2,2,0,OldTown,2Story,33.0,0.0
127000,955,7742,1966,5,3,1,386,Sawyer,1Story,66.0,0.0
177000,1470,13869,1997,6,3,2,388,Gilbert,2Story,,0.0
114500,1176,6240,1934,6,3,1,528,BrkSide,1.5Fin,52.0,0.0
110000,816,8472,1963,5,2,1,516,IDOTRR,1Story,110.0,0.0
385000,1842,50271,1981,9,0,0,894,Veenker,1Story,68.0,0.0
130000,1360,7134,1955,5,3,1,572,NAmes,SLvl,60.0,0.0
180500,1425,10175,1964,6,3,2,576,NAmes,1Story,100.0,272.0
172500,1739,2645,1999,8,3,2,480,Somerst,2Story,24.0,456.0
196500,1720,11645,2004,7,3,2,565,CollgCr,2Story,89.0,0.0
438780,2945,13682,2006,10,3,3,641,StoneBr,2Story,66.0,1031.0
124900,780,7200,1972,5,2,1,352,CollgCr,1Story,60.0,0.0
158000,1158,13072,2004,6,3,1,576,SawyerW,1Story,63.0,0.0
101000,1111,7200,1920,5,3,1,288,IDOTRR,2.5Unf,60.0,0.0
202500,1370,6442,2006,8,2,2,484,NridgHt,1Story,44.0,178.0
140000,1710,10300,1921,7,3,2,480,OldTown,2Story,50.0,0.0
219500,2034,9375,1997,7,3,2,645,CollgCr,2Story,,573.0
317000,2473,9591,2004,8,4,2,852,NridgHt,2Story,76.0,344.0
180000,2207,19900,1970,7,3,2,576,NAmes,1Story,,287.0
226000,1479,10665,2003,7,3,2,558,CollgCr,1Story,72.0,167.0
80000,747,4608,1945,4,2,1,220,OldTown,1Story,47.0,0.0
225000,2287,15593,1953,7,3,2,667,ClearCr,1.5Fin,81.0,0.0
244000,2223,13651,1973,7,3,2,516,NAmes,1Story,95.0,1115.0
129500,845,7599,1982,4,2,1,360,Mitchel,1Story,69.0,0.0
185000,1718,10141,1998,7,3,2,427,Gilbert,2Story,74.0,40.0
144900,1086,10200,1954,5,3,1,490,NAmes,1Story,85.0,104.0
107400,1605,5790,1915,3,3,2,379,OldTown,2Story,60.0,0.0
91000,988,1596,1973,4,2,1,297,MeadowV,SLvl,21.0,0.0
135750,952,8475,1956,4,2,1,283,NAmes,1Story,,0.0
127000,1285,8635,1948,5,2,1,240,BrkSide,1.5Fin,50.0,0.0
136500,1768,10778,1968,4,4,2,0,Sawyer,1Story,72.0,0.0
